date,podnik,polievka,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2019-10-22,Veglife,Miso zeleninovy vyvar s tofu,Cicerovy falafel zemiakovo hraskove pyre,Grilovane Robi zemiakovy salat s vegan majonezou,Kremove rizoto s medovou tekvicou,Seitan ragu na korenovej zelenine ryza natural
2019-10-23,Alzbetka,Hovadzi vyvar s pecenovymi haluskami,Spenatova s krutonmi,Pivovarnicky gulas g zemlova knedla,Vyprazane kuracie pecienky varene zemiaky na masle s pazitkou g tatarska omacka,Spenatove natur rizoto s rucolou a parmezanom
2019-10-23,Bioland,Sosovicova na kyslo s ryzovou smotanou,Domace spaldove strapacky s kyslou kapustou a udenym tofu,Pecena zelenina na kokosovom oleji s citronovym tymianom,Raw jahodovy sen,
2019-10-23,Bistro Mnamka,Slepaci vyvar s masom a zeleninou,Kuraci steak s pecenou zeleninkou pol ryza pol americke zemiaky,Segedinsky gulas domaca parena knedla,Vyprazana mozzarella smotanovo bylinkovy dresing pizza chlieb,Domace parene buchty s cokoladou a kokosom
2019-10-23,BlueBear,Kremova polievka z cesnaku a cukety krutony,Vyprazane tvarohove pirohy so sladkou posypkou a dzemom,Bravcova zivanska so zemiakmi slaninkou a klobasou uhorkovy salat s kyslou smotanou,Kremove cestoviny s lososom parmezanom a pazitkou,TYZDENNE  Pecena bravcova panenka s maslovymi sampinonmi bylinkami salotkou a restovanou polentou
2019-10-23,Centr klub,Cibulova so syrovym toastom,Hubove rizoto s baby spenatom susenymi paradajkami a parmezanom,Madarsky gulas parena knedla,Grilovana bravcova panenka s nivovou omackou americke zemiaky,
2019-10-23,Ceska piv,Tekvicova polievka Hokkaido,Kuraci steak s grilovanou zeleninou a ryzou,Vepro knedlo zelo,Sezamovy salat s kuracimi prsiami,XXL  Vyprazany bravcovy rezen s varenymi zemiakmi a kyslou uhorkou
2019-10-23,Dilema,Talianska minestrone,Vyprazany kuraci Cordon Bleu ryza hranolky coleslaw salat,Jeleni gulas parena knedla,Tvarohovo jablkova zemlovka,G Grilovany steak z lososa s bylinkovym maslo na spenatovych zemiakoch
2019-10-23,Jedla lenka,Fazulova polievka kysla,Cesnakova polievka vyvar,Telacie na hrasku ryza,Bravcovy ciernohorsky rezen varene zemiaky,Peceny plneny bravcovy bocik zemiakova kasa
2019-10-23,Kasa,Zemiakova polievka s koprom,Sosovicovy privarok vajce na tvrdo,Konfitovany hovadzi krk s cibulou,,
2019-10-23,Mestiansky piv,Hovadzi vyvar s cestovinou,Segedinsky gulas s domacou kysnutou knedlou,Penne s kuracim masom a nivovou omackou,,
2019-10-23,Milton,Tekvicova kremova polievka tymianovy olivovy olej z maslovej oranzovej tekvice,Bolonske lasagne gratinovane syrom mozzarella,Vyprazany falafel cicerove gulky,Grilovane konfitovane bravcove licka na ciernom pive a zelenom koreni,Torta z troch druhov cokolady
2019-10-23,Prazsky pub,Zeleninova polievka s krupicovymi haluskami,Bravcove stehno na srbsky sposob s dusenou ryzou,Kuracie kridelka s hranolkami a BBQ dressingom,Zemiakove gnocchi s masovym ragu,Salat z polnicka a medovych kuracich kuskov
2019-10-23,Red Cafe,Kulajda polievka,Tilapia na grile so zeleninovym zavinom bazalkova omacka,Kolozvarska kapusta,Polievka pizza z ponuky,
2019-10-23,RTVS,Minestrone,Hydinove rizoto so syrom,Bravcova pecena krkovicka dusena cer kapusta knedla,Duseny spenat varene vajicko varene zemiaky,Kuraci rezen Marylland zemiaky
2019-10-23,Suvlaki,Zemiakova polievka,Peceny kralik s mrkvou cibulou a tymianom,Dusene bravcove maso s ananasom jogurtom a kurkumou,Pecene kuracie karbonatky paradajkova omacka,Zapecene listkove cesto plnene sampinonmi cuketou paprikou a syrom
2019-10-23,Svadby a Kari,Polievka z pecenych paprik a paradajok,Jamajske kuracie kari s tymianom cuketou paprikou a zemiakmi slivkove catni,Thajske biele VEGAN kari s hlivou zemiakmi opekanym tofu a zelenymi fazulkami hruskove catni v kari,,
2019-10-23,U Hasica,Vyvar s pecenovymi haluskami,Vyprazany Cordon bleu ryza,Fasirka zemiakova kasa uhorka,Bryndzove pirohy slaninka smotana,
2019-10-23,U Majky,Tekvicova s koprom,Madarsky gulas,Francuzske zemiaky,Zeleninovy rezen,
2019-10-23,Veda,Thajska sampionova,Papad por a paradajky indickej omacke s cibulou,Farebn a paprika a domaci syr s drvenym indickym korenim,Baklazan a cicer indickej omacke,Miesana zelenina v omacke s kokosovym mliekom a thajskym zltym kary
2019-10-23,Veglife,Jesenna cicerova polievka,Robi lasagne,Bataty v arasidovej omacke ryza jasminova,Seitan na cervenom kari s porom a sampinonmi ryza jasminova,Karfiolove ragu s fazulou a BIO tempehom pecene zemiaky
2019-10-24,Alzbetka,Hrachova s udenym masom,Mrkvova kremova s bylinkovymi krutonmi,Kuraci Gordon blue zemiakova kasa so slaninkou,Hovadzie buritos hranolky listovy salat syrovy dresing,Fit morcaci steak so sezamom a bazalkovym pestom fazulove lusky na masle
2019-10-24,Bioland,Porovo zazvorovy krem s prazenymi slnecnicovymi semiackami,Seitan na koprovej omacke s domacou knedlou,Bylinkovy pohankovy bulgur s fazulovymi strukmi preliaty tekvicovym olejom,Cokoladove kocky s karamelizovanym pomarancom a nugatom,
2019-10-24,Bistro Mnamka,Petrzlenova kremova so slnecnicovymi semiackami,Kuracie fajitas s dusenou ryzou limetkovo smotanovy dip,Vyprazany karfiol varene zemiaky s vnatkou domaca tatarska omacka,Salat s grilovanym kuracim masom horcicovo medovy dresing pizza chlieb,Domace parene buchty s cokoladou a kokosom
2019-10-24,BlueBear,Francuzska cibulova polievka,Obrateny bravcovy rezen so zemiakovym pyre a calamadou,Kuracie prsia na korenovej zelenine so stuchanymi zemiakmi rukola,Salat s pecenou cviklou kozim syrom a grilovanymi cherry paradajkami,TYZDENNE Pecena bravcova panenka s maslovymi sampinonmi bylinkami salotkou a restovanou polentou
2019-10-24,Centr klub,Kelova s parkom,Parene buchty s kakaom a maslom,Bravcovy gyros pecene zemiaky tzatziky,Morcacie prsia so slaninou a ostiepkom tarhona,
2019-10-24,Ceska piv,Luskova polievka na kyslo,Jemne pikantne kuracie sote v zemiakovej placke miesany salat,Bravcova kapsa plnena cheddarom a sunkou ryza a paradajkovy salat,Caesar salat,XXL Vyprazany bravcovy rezen s varenymi zemiakmi a kyslou uhorkou
2019-10-24,Dilema,Frankfurtska s parkom,Zapekane kuracie prsia s cuketou baklazanom a ementalom pomodoro omacka dusena ryza valerian,Bravcovy perkelt domace halusky,Vyprazany karfiol varene zemiaky domaca tatarska omacka,Grilovany steak z lososa s bylinkovym maslo na spenatovych zemiakoch
2019-10-24,Jedla lenka,Paradajkova polievka so syrom,Cesnakova polievka vyvar,Madarsky gulas knedla,Vyprazany bravcovy rezen Francuzsky salat,Peceny plneny bravcovy bocik restovane zemiaky
2019-10-24,Kasa,Zelerovo spenatova polievka,Gratinovane zemiaky so spenatom,Bravcove dusene na horcici a rasci,,
2019-10-24,Mestiansky piv,Bryndzova so zemiakmi,Pecene kuracie stvrtky dusena ryza miesany salat,Mexicka fazula udene rebra kysla smotana,,
2019-10-24,Milton,Paradajkova polievka s bazalkou a struhanym parmezanom,Grilovany steak z kuracich prs marinovany s bylinkami,V jarnom ceste grilovany kozi syr Chevrette di Poiton,Grilovane kacacie prsia Sous Vide,U nas pripravovany francuzsky kremes podla Rudka
2019-10-24,Prazsky pub,Fazulova polievka na kyslo,Hovadzie varene maso s chrenovou omackou a parenou knedlou,Kuraci steak s brokolicou a dusenou ryzou,Zemiakove sulance s dusenou kapustou a udenym masom,Salat Caprese s olivami a bazalkou
2019-10-24,Red Cafe,Kapustnica s klobaskou polievka,Vypr bravcovy rezen majonezovy salat,Zapekane cestoviny s kuracim masom,Polievka pizza z ponuky,
2019-10-24,RTVS,Hrstkova,Hydinovy perkelt halusky,Kolozvarska kapust varene zemiaky,Zapekane zemiaky so zeleninou a syrom,Kuracie sote Sanghaj dusena ryza
2019-10-24,Suvlaki,Paradajkova polievka,Vyprazane rybky GAVROS dip,Dusene telacie maso so zeleninou a vinovou omackou,FRIKASE Dusene bravcove maso s rimskym salatom mladou cibulkou citronova omacka,Dusene kuracie maso s olivami slaninkou paradajkova omacka
2019-10-24,Svadby a Kari,Kremova polievka z lucnych bylin s bezlaktozovym mliekom,Zlte thajske hovadzie kari s baklazanom karfiolom a zelenymi fazulkami uhorkova raita v kari v prilohe,Indicka Rajma Masala s batatmi karfiolom fazulami salat z cervenej kapusty,,
2019-10-24,U Hasica,Zeleninova,Kuracie na pikantnej omacke ryza,Svieckova na smotane knedla,Kapustove strapacky,
2019-10-24,U Majky,Francuzska,Restovana bravcova pecen,Zemiakovy privarok fasirka,Peceny filet z lososa a ces a sus paradajkami,
2019-10-24,Veda,Thajska tekvicova,Farebna paprika a halusky s cicerovej muky s drvenym indickym korenim,Sampiony v indickej jogurtovej omacke,Brokolica v indickej omacke s cibulou,Cuketa a cicer v indickej omacke
2019-10-24,Veglife,Luskova polievka na kyslo,Gnocchi s balkanskym syrom a hokaido omackou,Tofu na wok zelenine ryza jasminova,Cviklove kofty stuchane zemiaky s olivovym olejom,Cuketovy nakyp so syrom pecene zemiaky
2019-10-25,Alzbetka,Kapustova s klobasou,Zeleninova s mrvenickou,Drzkovy perkelt maslove halusky,Kuracie stehienka v cornflakesoch hranolky BBQ omacka,Omeleta so sampinonmi cuketou a mozarelou pecene bataty
2019-10-25,Bioland,Eintopf zeleninovo strukovinova polievka,Ryzovy nakyp s hrozienkami jablkom a vonavymi slivkami,Indicky sosovicovy dhal zo zeleninou kokosovym mliekom a koriandrom,Raw raffaello,
2019-10-25,Bistro Mnamka,Paradajkova so syrom,Pecene kuracie kridla v bbq omacke dusena ryza salatik,Bravcovy paprikas domace halusky,Caprese salat pizza chlieb,Domace parene buchty s cokoladou a kokosom
2019-10-25,BlueBear,Kukuricny krem s kokosom a koriandrom,Obrateny bravcovy rezen so zemiakovym pyre a calamadou,Hovadzie dusene na omacke sosusenych sliviek pretlacane maslove zemiacky,Vyprazane hermelinove trojuholniky s varenymi zemiakmi a tatarskou omackou,TYZDENNE Pecena bravcova panenka s maslovymi sampinonmi bylinkami salotkou a restovanou polentou
2019-10-25,Centr klub,Masovy vyvar so zeleninou a rezancami,Gnocchi s paradajkovou omackou kuracim masom mozzarellou a bazalkou,Zivanska z bravcovej krkovicky,Hovadzie varene paradajkova omacka parena knedla,
2019-10-25,Ceska piv,A Kuracie prsia zapekana s ostiepkom a susenymi paradajkami varene zemiaky,Znojemske bravcove so slovenskou ryzou,Listovy salat s prosicuttom vajickom a parmezanom,XXL Vyprazany bravcovy rezen s varenymi zemiakmi a kyslou uhorkou,Vip Pecene kacacie stehno s karamelizovanou kapustou loksa
