date,podnik,polievka,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2020-06-24,Milton,Hlivova kremova polievka na kyslo s ovocnym octom a bazalkou,Domaca sekana plnena varenym vajickom u nas mlete hovadzie a bravcove masa,Na kruste z morskej soli peceny filet zo zubaca podavany na hraskovom pyre,Konfitovane telacie licka v zeleninovej remulade,Dusena korenova zelenina bylinky a telacia stava
2020-06-24,Prazsky pub,Kuraci vyvar s rezancami a zeleninou,Plnene kuracie prsia so syrom a susenymi paradajkami s kroketami,Ravioly plnene masom s vinovo maslovou omackou a rukolou,Zeleninovy salat s kuracimi kridlami a ostro sladkou omackou,
2020-06-24,Red Cafe,Gulasova polievka,Kuraci Cordon Bleu zemiak pyre uhorovy s,Vypr sampinony na listovom salate cesnak dip,Polievka pizza sunkova salamova sampinonova,
2020-06-24,RTVS,Karfiolova,Bravcove pliecko na rasci dusena ryza,Kuracie prsia s ananasom zemiaky s vnatkou,Sampinonovy perkelt halusky,
2020-06-24,Suvlaki,Dusena bravcova pecienka s cervenou cibulkou vinova omacka,Pecena kuracia rolka plnena vajickovou omeletou cuketou a syrom,Zapecene cestoviny so spenatom,,
2020-06-24,Svadby a Kari,Thajska melonova polievka s cicerom a kokosovym mliekom VEGAN,Indicke kuracie kari v paradajkovo kardamonovej omacke s batatmi sampinonmi paprikou a zelenymi fazulkami indicky jarny kapustovy salat v prilohe,Indonezske arasidove Satay VEGAN kari s maslovou tekvicou cuketou paradajkami a hraskom indicky jarny kapustovy salat v jedle v prilohe,,
2020-06-24,U Majky,Vyvar s pecen haluskami,Bravcovy perkelt,Vyprazane lahod kuracie prsia,Ovocna zemlovka,
2020-06-24,Veda,Vegetable cream soup,Papad cibula a paradajky v indickej omacke,Cibulove fasirky v indickej jogurtovej omacke,Baklazan a cicer v masala omacke,Thai yellow curry
2020-06-24,Veglife,Paradajkova polievka s bielou fazulou,Gnocchi s kelom tempehovymi skvarkami a parmezanom,Brokolicovy nakyp so syrom a cherry paradajkami zemiakove pyre s maslom,Baklazanovy gulas s cicerom pecene zemiaky B V P,Sosovicovy dhal s kokosovym mliekom a pecenymi batatmi ryza jasminova
2020-06-25,Alzbetka,Hrstkova polievka s klobasou,Francuzske zemiaky s kyslou uhorkou,Morcaci Cordon Bleu servirovany so zemiakovymi hranolkami a tatarskou omackou,,
2020-06-25,Bioland,Polievka Minestrone s fazulovymi fit rezancami alergeny neobsahuje,Spalove rezance s makom a karamelovym jablckom alergeny lepok,Zapekany karfiol s mozzarellou zemiakmi udenym tofu a uhorkovym salatom alergeny soja mlieko,Dezert Bananove tiramisu alergeny mlieko vajcia lepok,
2020-06-25,BlueBear,Sosovicova na kyslo,Bravcove stehno na znojemsky sposob s tarhonou a calamadou,Pecene morcacie prsia s kurkumou jarnou cibulkou s dusenou ryzou,Jemne pikantne cestoviny s pestom zo susenych paradajok a halloumi syrom,TYZDENNE Salat s transirovanymi kacacimi prsiami kesu orieskami kozim syrom a karamenizovanym jablkom
2020-06-25,Centr klub,Zemiakovy krem s udenym masom,Hubove rizoto susene paradajky rukola parmezan,Madarsky gulas parena knedla,,
2020-06-25,Dilema,Karfiolovy krem s krutonmi,Smotanove kuracie sote s kukuricou a hraskom dusena ryza,Pecena krkovicka na ciernom pive restovane zemiaky s cibulkou,Strapacky s kyslou kapustou a slaninkou,Vyprazana parenica so sunkou hranolky domaca tatarska omacka
2020-06-25,Kasa,Pastrnakovy krem s tymianom,Harula s bylinkami,Pecene kuracie stehno,,
2020-06-25,Mestiansky piv,Hrstkova,Kuraci perkelt s haluskami HU,,,
2020-06-25,Milton,Zeleninova polievka zo sezonnej zeleniny s maslovo krupicovymi haluskami,Vyprazany bravcovy rezen bravcove kare v bezlepkovej uprave,Paradajkovo cuketove lasagne gratinovane s mozzarellou,Grilovane kacacie prsia,U nas pripravovana torta podla Rudka
2020-06-25,Prazsky pub,Spenatova polievka s krutonmi,Pecena krkovicka s dusenou kapustou a zemiakovou knedlou,Parene buchty s nutellou a orechovou posypkou,Cezar salat s kuracim masom a vajickom,
2020-06-25,Red Cafe,Kelova s parkom polievka,Pecene kuracie stehno ryza kompot,Penne formaggi,Polievka pizza sunkova salamova sampinonova,
2020-06-25,RTVS,Kelova,Masove gulky v paradaj kovej omacke knedla,Bravcovy platok na hubach dusena ryza,Tresenica kysla kapusta oskvarky zemiaky,
2020-06-25,Svadby a Kari,Tom Yum VEGAN s rezancami sampinonmi melonom a cuketou,Thajske zelene hovadzie kari s baklazanom cuketou a zelenymi fazulkami mrkvovy salat so slnecnicovymi semiankami a thajskou bazalkou v kari,Sosovicovy VEGAN Dhal s marhulami mrkvovy salat so slnecnicovymi semiankami a thajskou bazalkou,,
2020-06-25,U Majky,Rajcinova,Kuracie rezance na cinskej zelenine,Bravcove kare na dubakoch,Grilovany encian brusnice,
2020-06-25,Veda,Thajska tekvicova,Soja v indickej omacke,Sampiony v indickej jogurtovej omacke,Brokolica a cibula v indickej omacke,Cuketa a cicer v indickej omacke
2020-06-25,Veglife,Kokosovo karfiolova polievka,Robi na smotanovo tekvicovej omacke pecene zemiaky,Hlivovy perkelt tarhona,Goody foody so zeleninou v skladko kyslej omacke ryza natural,Zapekany brokolicovy gratin s tofu
2020-06-26,Alzbetka,Losos v orechovej kruste podavany so zemiakovou kasou a dusenym spenatom,Spagety Carbonara so struhanym parmezanom,Napoj jablko,,
2020-06-26,Bioland,Polievka Sosovicovo pohankova alergeny neobsahuje,Bezlepkova frittata s camembertom cervenou repou hnedymi sampinonmi a cerstvym tymianom alergeny mlieko vajce,Granadir s pohankovou cestovinou a domacim cviklovym salatom alergeny horcicne semienko,Dezert Vegansky koprovy osuch alergeny lepok,
2020-06-26,BlueBear,Kremova kapustova polievka s udeninou,Bravcove stehno na znojemsky sposob s tarhonou a calamadou,Vyprazane kuracie prsia v cornflkesovom obale s varenymi zemiakmi a tatarskou omackou,Peceny filet z tresky tmavej so zemiakovou kasou,TYZDENNE Salat s transirovanymi kacacimi prsiami kesu orieskami kozim syrom a karamenizovanym jablkom
2020-06-26,Centr klub,Hrstkova s majoranom,Spagety s Bolognese,Vyprazana treska zemiakovo cibulovy salat,,
2020-06-26,Ceska piv,Slepaci vyvar s masom a rezancami,Grilovany encian s redukciou cierneho piva stuchane zemiaky mix salat,Kuracie prsia zapekane so slaninkou a udenym syrom ryza,XXL Vyprazany bravcovy rezen varene zemiaky tatarska omacka,
2020-06-26,Dilema,Gulasova,Kuraci steak s grilovanou zeleninou dusena ryza valerian,Bravcovy rezen zemiakove pyre kysla uhorka,Safranove rizoto so spenatom a parmezanom,Vyprazana parenica so sunkou hranolky domaca tatarska omacka
2020-06-26,Kasa,Rascova polievka s vajcom,Lasagne s modrym syrom a spenatom,Hovadzi gulas,,
2020-06-26,Mestiansky piv,Spenatova s vajickom,Bravcova zivanska krkovicka s opekanymi zemiakmi baranierohy AT,,,
2020-06-26,Milton,Babickina bryndzova polievka s mrvenickou,Kuracia rolada z vykosteneho kuriatka so slaninou a spenatom,Ryzovy nakyp z pecenymi jablkami a susenymi brusnicami ochuteny cerstvou vanilkou,Glazovane visne na hnedom cukre,Grilovany filetovany pstruh
2020-06-26,Prazsky pub,Luskova polievka na kyslo so zemiakmi,Hovadzi stroganov s dusenou ryzou,Spaghetti s paradajkovym ragu parmezanom a bazalkou,Miesany salat s pecenou cviklou hermelinom a medovym dressingom,
2020-06-26,Red Cafe,Demikat so slaninkou polievka,Vypr bravcovy rezen majonezovy salat,Chilli con carne,Polievka pizza sunkova salamova sampinonova,
2020-06-26,RTVS,Hovadzia s cestovinou,Fazulovy privarok vypr karbonatok chlieb,Hydinovy cernohorsky rezen dusena ryza,Pecene buchty s lekvarom,
2020-06-26,Suvlaki,Mrkvova polievka,Pecene rybacie filety s cesnakom rozmarinom paradajkami,DOLMADAKIA Vinny list plneny ryzou na grecky sposob tzatziki dip,MUSAKA,
2020-06-26,Svadby a Kari,Kremova cuketova polievka s rukolou VEGAN,Indicke kuracie Madras kari s cuketou hraskom paradajkami a zemiakmi jablkove catni s matou v kari,Thajske VEGAN cervene kari s maslovou tekvicou baklazanom a cicerom jablkove catni s matou v kari,,
2020-06-26,U Majky,Kapustova,Miesane sote v zem placke,Vyprazane rybie file,VFzprazany syr,
2020-06-26,Veda,Thajska tekvicova,Soja v indickej omacke,Sampiony v indickej jogurtovej omacke,Brokolica a cibula v indickej omacke,Cuketa a cicer v indickej omacke
2020-06-26,Veglife,Miso zeleninovy vyvar s tofu,Hubovnik s cervenou kapustou,Cicer na marocky sposob ryza natural,Jacmenne krupky s bryndzou pazitkou a tempehom,Mrkvove kofty zemiakove pyre
2020-06-29,Alzbetka,Hovadzi vyvar s rezancami,Lasagne Bolognese,Miesany listovy salat podavany s kuracimi nugetkami so syrovym dresingom a hriankami,,
2020-06-29,Bioland,Hlivovo zemiakova,Cviklovo spaldove halusky s kesu omackou a redchard salatom,Miesany salat s uhorkou paprikou paradajkou slnecnicovym semienkami greckym syrom horcicovo medova zalievka,,
2020-06-29,BlueBear,Zelerova s pecenou paprikou,Segedinsky gulas s parenou knedlou,Bravcovy rezen v cesticku so zemiakovoukasou a kyslou uhorkou,Zapekane plnene paradajky s parmezanovou quinoou a rukolou,TYZDENNE Konfitovany bravcovy bok na batatovom pyre restovanych fazulkach s red apple coleslaw salatom
2020-06-29,Centr klub,Cesnakova so syrom a opecenym chlebom,Grilovany encian pecene zemiaky brusnice maly listovy salat,Bravcove kare na zelenine a bylinkach tarhona,,
2020-06-29,Ceska piv,Slepaci vyvar s masom a rezancami,Kuracie zapekane s encianom a slaninou ryza a miesany salat,Vyprazany syr s hranolkami a tatarskou omackou,XXL Vyprazany bravcovy rezen varene zemiaky miesany salat,
2020-06-29,Dilema,Cicerovy krem s krutonmi,Kuracie Kung Pao dusena ryza,Pecena prekladana krkovicka s cibulkou a horcicou hranolky,Cestoviny penne all amatriciana s parmezanom rukola,Vyprazany bravcovy rezen XL zemiaky na grile domaca tatarska omacka
2020-06-29,Kasa,Kelova detox polievka,Cicerovo karfiolove jemne curry,Kuracie na azijsky sposob,,
2020-06-29,Mestiansky piv,Kelova so zemiakmi,Kuracie prsia pfeffer omacka zemiakova kasa HU,,,
2020-06-29,Milton,Provensalska polievka z fazulkovych luskov s bylinkami a ovocnym octom,Vyprazany bravcovy Gordon Blue sunka a syr,Grilovany filet z morskej ryby,Grilovane jahnacie kotlety na kajenskom koreni,Torta z tmavej a bielej cokolady
2020-06-29,Prazsky pub,Paradajkova polievka s krutonmi,Pecene kuracie stehno s hraskovou ryzou,Spaghetti alla puttanesca,Zeleninovy salat s avokadom a posirovanym vajcom,
2020-06-29,Red Cafe,Luskova na kyslo polievka,Kur steak batatove pyre om z peceneho cesnaku,Spaghetti Carbonara,Polievka pizza sunkova salamova sampinonova,
2020-06-29,RTVS,Zeleninovy borsc,Tatranska morcacia zmes slovenska ryza,Bravcovy gazdovsky rezen dusena ryza,Lievance s dzemom,
2020-06-29,Suvlaki,Zapecene spagety s tuniakom cervenou cibulkou syrom,Pecene kuracie karbonatky paradajkova omacka,Gratinovana zelenina s jogurtovym besamelom,,
2020-06-29,Svadby a Kari,Kremova mrkvova polievka s limetkou,Indicke baklazanove kuracie kari Pav Bhaji s maslom GHEE karfiolom a paradajkami hrozienkove chutney s tamarindom,Thajske kokosovo mangove VEGAN kari s batatmi mrkvou a cicerom hrozienkove chutney s tamarindom,,
2020-06-29,U Majky,Sosovicova s parkom,Bravcove na sampinonoch,Gordon blue,Hlivovy perkelt,
2020-06-29,Veda,Sosovicova so zeleninou,Zemiaky cuketa a paradajky v indickej omacke,Tekvica v indickej spenatovej omacke,Brokolica v indickej omacke s kukuricou,Domaci syr a hrasok v indickej jogurtovej omacke
2020-06-29,Veglife,Mrkvova polievka s hraskom a pohankou,Zazvorove tofu na sampinonoch a brokolici ryza jasminova,Granatiersky pochod s batatmi a lahodkovym drozdim,Karfiolovy rezen so syrom zemiakove pyre s maslom,Vegan Paella
2020-06-30,Alzbetka,Drzkova polievka,Restovana kacacia pecen na cibulke s dusenou ryzou a kyslou uhorkou,Vyprazany eidam s varenymi zemiakmi s maslom a vnatkou servirovany s tatarskou omackou,,
2020-06-30,Bioland,Gazpacho,Cevapcici z robi masa varene zemiaky a salat,Veganske rizoto so spenatom susenymi paradajkami a parmezanom,Struhany tvarohovy kolac,
2020-06-30,BlueBear,Fazulovo hribova polievka,Segedinsky gulas s parenou knedlou,Konfitovane telacie stehno na omacke z cerveneho vina zemlova knedla,Vyprazany karfiol s varenymi maslovymi zemiakmi a tatarskou omackou,TYZDENNE Konfitovany bravcovy bok na batatovom pyre restovanych fazulkach s red apple coleslaw salatom
2020-06-30,Centr klub,Cicerova so zeleninou,Penne Pomodoro bravcova panenka parmezan bazalka,Kuracie kari s wok zeleninou cili jasminova ryza cerstvy koriander,,
2020-06-30,Ceska piv,Slepaci vyvar s masom a rezancami,Karotkovy krem,Kuracie prsia s grilovanou zeleninou ryza,Rezen z krkovicky s varenymi zemiakmi miesany salat,XXL Vyprazany kuraci rezen s hranolkami tatarska omacka
2020-06-30,Dilema,Zeleninova s bielou fazulou,Grilovane kuracie prsia so zelenou fazulkou a BLEUCHESS omackou ryza,Pecene kare s tuniakovou majonezou zemiakovo mrkvove kare,Hubove rizoto so struhanym syrom valerian,Vyprazany bravcovy rezen XL zemiaky na grile domaca tatarska omacka
2020-06-30,Kasa,Zeleninovy krem,Baklazanovo batatova moussaka,Bravcove plece na znojemsky sposob,,
2020-06-30,Mestiansky piv,Hraskovy krem,Cernohorsky bravcovy rezen opekane zemiaky tatarska omacka AT,,,
2020-06-30,Milton,Cicerovo pastrnakovy krem s posypkou z prazenych miesanych orechov,Konfitovana hovadzia falosna svieckova s hoisin omackou,Fritovane krokety z kozieho syru a ricotty v bezlepkovej struhanke,Mini rezniky vyprazane medajlonky z bravcovej panenky,Ladova terina z cerstvych jahod naslahaneho ricotta syru a cokolady
2020-06-30,Prazsky pub,Minestrone polievka s cestovinou,Kuraci rezen so stuchanymi zemiakmi a uhorkovym salatom,Spenatove lasagne s ricottou a paradajkovou omackou,Cestovinovy salat so sunkou a syrom,
2020-06-30,Red Cafe,Mrkvovy krem so zazvorom polievka,Penne s kuracim masom a susenymi paradajkami,Francuzske zemiaky kysla uhorka,Polievka pizza sunkova salamova sampinonova,
2020-06-30,RTVS,Slepacia s ryzou a hraskom,Jeleni gulas knedla,Hydinove sotte dusena ryza,Sicilske rizoto,
2020-06-30,Suvlaki,Grilovane jahnacie karbonatky,Pecene kuracie stehno so susenymi paradajkami horcicova omacka,Zapecene listkove cesto plnene spenatom a syrom Feta,,
2020-06-30,Svadby a Kari,Jarny hraskovy krem s cviklovymi klickami VEGAN RAW,Thajske hovadzie Panang kari s arasidmi tekvicou paradajkami a cuketou mangove catni v kari v prilohe,Indicky VEGAN Dhal z cervenej sosovice s hruskami a tamarindom mangove catni v kari a v prilohe,,
2020-06-30,U Majky,Mrkvova kremova,Kuraci stroganov,Mlety rezen so syrom,Sulance s makom,
2020-06-30,Veda,Dal palak,Farebna paprika a zemiaky s drvenym indickym korenim,Sampiony a fazula v indickej spenatovej omacke,Miesana zelenina v indickej jogurtovej omacke,Zeleninove fasirky v indickej omacke
2020-06-30,Veglife,Harira marocka cicerova polievka,Plneny kapustny list so zeleninou a tempehom v paradajkovej omacke pazitkove zemiaky,Zeleninove stir fry s tofu ryza natural,Farfalle s bazalkovym pestom a goody foody,Grilovane robi s chrenovou omackou pazitkove zemiaky
2020-07-01,Alzbetka,Brokolicova kremova polievka so syrom a krutonmi,Segedinsky gulas podavany s parenou knedlou,Morcaci steak servirovany s mangovou salsou a pecenou tekvicou,,
2020-07-01,Bioland,Eintopf zeleninovo strukovinova polievka,Celozrnne lasagne s paradajkovou omackou mozzarellou domacim bazalkovym pestom a salatom,Vegetariansky gulas s ruzickovym kelom a quinoou,Tiramisu s kakaovym mascarpone,
2020-07-01,BlueBear,Porova polievka so zemiakmi,Jablkovo orechove palacinky so slahackou,Marinovana bravcova krkovicka so stuchanymi zemiakmi a chrumkavou cibulkou mrkvovy salat,Spenatove halusky s omackou z modreho syra,TYZDENNE Konfitovany bravcovy bok na batatovom pyre restovanych fazulkach s red apple coleslaw salatom
2020-07-01,Centr klub,Fazulova s udenym masom,Cezar salat s kuracim masom vajickom a krutonmi,Mexicky gulas hraskova ryza syr,,
2020-07-01,Ceska piv,Slepaci vyvar s masom a rezancami,Brokolicova kremova s krutonom,Caesar salat,Kuracie kusky v mexickej fazulke ryza,XXL Bravcovy Cernohorsky rezen s varenymi zemiakmi a mix salatom
2020-07-01,Dilema,Frankfurtska s parkom,Kuracie rezanceky so julienne zeleninou ryza,Plnena paprika s mletym masom v paradajkovej omacke varene zemiaky,Parene buchty s ovocnou marmeladou grankom a maslom,Vyprazany bravcovy rezen XL zemiaky na grile domaca tatarska omacka
2020-07-01,Kasa,Francuzska hrachovo hraskova polievka,Vege plnena paprika,Hovadzie so zemiakovo koprovou omackou,,
2020-07-01,Mestiansky piv,Hovadzi vyvar s pecenovymi haluskami,Hovadzie na paprike domaca kysnuta knedla AT,,,
2020-07-01,Milton,Japonska miso polievka s ryzovymi rezancami sezonnou zeleninou a tofu,Platky z kuracich prs zapekane s mozzarellou a paradajkami,Baklazanove timbale s cerstvym spenatom paradajkami a mozzarellou,Telacie kare Sous Vide alla Wellington s hubovym pate slaninou a gratinovane do listkoveho cesta,Karamelove Creme brulee s ladovymi ceresnami
2020-07-01,Prazsky pub,Kuraci vyvar s rezancami a zeleninou,Bravcovy perkelt s haluskami a kyslou smotanou,Granatiersky pochod s kapustovym salatom,Miesany salat s grilovanym tofu a bylinkovym dressingom,
2020-07-01,Red Cafe,Hovadzi vyvar s pecenovymi haluskami polievka,Madarsky gulas domaca knedla,Salat s camembertom a prosciuttom,Polievka pizza sunkova salamova sampinonova,
2020-07-01,RTVS,Sosovicova kysla,Cevabcici varene zemiaky obloha,Bravcova panenka s dubakovou omackou jasminova ryza,Bryndzove halusky so slaninkou,
2020-07-01,Suvlaki,Peceny losos so zeleninou,Dusene morcacie maso s olivami a slaninkou,Zapeceny baklazan s paradajkovou omackou bazalkou a syrom Feta,,
2020-07-01,Svadby a Kari,Polievka z pecenych paprik a paradajok s kokosovym mliekom,Indicke zelene kari s kuracim masom jogurtom sampinonmi batatmi a hrozienkami nektarinkove catni v kari,Thajske VEGAN zlte kari s ananasom maslovou tekvicou cuketou a cicerom nektarinkove catni v kari,,
2020-07-01,U Majky,Zemiakova na kyslo,Restovana bravcova pecen na slaninke,Heik na masle,Spen halusky so syr omackou,
2020-07-01,Veglife,Luskova polievka na kyslo,Brokolicove lasagne s mozzarellou,Orientalny bulgur s grilovanou paprikou a opekanym tofu,Sosovicovy gulas s pecenou hlivou pecene zemiaky,Karfiolovy paprikas s BiO tempehom ryza jasminova
2020-07-02,Alzbetka,Kelova polievka s udenym masom,Wrap s kuracim masom zemiakovymi hranolkami a cesnakovym dresingom,Kolozvarska kapusta s calamadou,,
2020-07-02,Bioland,Batatova kremova,Hrstkova kasa s pecenym seitanom a klickami,Zemiakovy kolac s cuketou karamelizovanou cibulkou a salat,Jablkova sarlota,
2020-07-02,BlueBear,Rybacia polievka so zeleninou,Bryndzove halusky so slaninkou a mladou cibulkou,Kuraci gyros so zeleninou a dusenou ryzou tzatziki,Salat s grilovanym marinovanym hermelinom cherry paradajkami a baby spenatom,TYZDENNE Konfitovany bravcovy bok na batatovom pyre restovanych fazulkach s red apple coleslaw salatom
2020-07-02,Centr klub,Hubova na kyslo so zemiakmi,Gnocchi s tekvicovym pyre rukola feta tekvicove semienka,Pecena krkovicka dusena cervena kapusta parena knedla,,
2020-07-02,Ceska piv,Slepaci vyvar s masom a rezancami,Zemiakova polievka na kyslo,Restovana kuracia pecen s ryzou a kyslou uhorkou,Bravcove kusky na smotane s lesnymi hribikami domaca parena knedla,XXL Vyprazany kuraci rezen s varenymi zemiakmi mix salat
2020-07-02,Dilema,Hrstkova s klobaskou,Kuraci steak na grile s volskym okom ryza hranolky salat,Hovadzi Tokan na cerenom vine tarhona,Cviklove krupoto s balkanskym syrom rukola,Vyprazany bravcovy rezen XL zemiaky na grile domaca tatarska omacka
2020-07-02,Kasa,Zelerovy kari krem,Hubovo fazulove gulky s horcicovou omackou,Morcacie s limetkou a cili,,
2020-07-02,Mestiansky piv,Paradajkova so syrom,Kuraci stroganov dusena ryza HU,,,
2020-07-02,Milton,Sosovicova polievka s udeninou a zemiakmi,Ciernohorsky bravcovy rezen bravcove kare struhany syr eidam,Grilovana morska ryba,Medajlonky z muflona v opasku z pancetty Sous Vide,Mangovy a malinovy sorbet podavany na medovej rebarbore
2020-07-02,Prazsky pub,Sosovicova polievka s parkom a zemiakmi,Spanielsky vtacik s tarhonou a prirodnou omackou,Zemiakove gnocchi s masovym ragu a rukolou,Salat Nicoise s tuniakom,
2020-07-02,Red Cafe,Kulajda polievka,Brav steak na zelenom koreni stuchane zemiaky,Fish and chips,Polievka pizza sunkova salamova sampinonova,
2020-07-02,RTVS,Gulasova s parkom,Hydinovy perkelt halusky,Nitrianske br kare slovenska ryza,Vyprazany karfiol varene zemiaky,
2020-07-02,Suvlaki,PASTITSIO zapecene makarony s mletym hovadzo bravcovym masom besamel omacka,Dusene kuracie maso s cicerom,Letna cuketova omeleta,,
2020-07-02,Svadby a Kari,Polievka na zelanie sutaz na Instagrame,Thajske cervene hovadzie kari s farebnymi paprikami cuketou batatmi a zelymi fazulkami zlty melon,Indicka VEGAN mandlova Korma s cuketami tekvicou jablkami a fazulou zlty melon,,
2020-07-02,U Majky,Francuzska,Segedinsky gulas,Kuraci rezen v zem cesticku,Tekvic privarok vajce,
2020-07-02,Veda,Thajska mrkvova,Tekvica kukurica a paprika v indickej omacke,Farebna paprika a fazula v indickej omacke,Miesana zelenina v indickej jogurtovej omacke,Karfiolova fasirka v indickej omacke
2020-07-02,Veglife,Hraskovy krem s kokosovym mliekom,Kolozvarska kapusta,Cevapcici z tofu zemiakove pyre s restovanou cibulkou,Gnocchi s pecenou letnou zeleninou a parmezanom,Baklazan na paradajkach s bazalkou ryza natural
2020-07-03,Alzbetka,Hovadzi vyvar s pecenovymi knedlickami,Pecene kacacie stehno podavane s dusenou cervenou kapustou a domacou parenou knedlou,Kuracie stehienka obalovane v cornflakesoch servirovane so zemiakovymi hranolkami a BBQ omackou,,
2020-07-03,Bioland,Thajska kokosova kari so zeleninou a ryzovymi rezancami,Bulgurovy tabouleh s paradajkami uhorkou a cerstvymi bylinkami,Quinoovo sosovicne placky so spenatovou omackou salat,Raw cokoladovo sezamove gulicky,
2020-07-03,BlueBear,Paradajkova polievka s bazalkou a psenom,Bryndzove halusky so slaninkou a mladou cibulkou,Morcaci spiz so zeleninou a halloumi syrom s pecenymi zemiakmi a rukolou,Zeleninove kari s dusenou kukuricnou ryzou,TYZDENNE Konfitovany bravcovy bok na batatovom pyre restovanych fazulkach s red apple coleslaw salatom
2020-07-03,Centr klub,Masovy vyvar s fridatovymi rezancami,Vyprazany karfiol varene zemiaky tatarska omacka,Paprikas z kuracieho stehna maslove halusky,,
2020-07-03,Ceska piv,Slepaci vyvar s masom a rezancami,Prirodna kuracia kapsa syr kukurica ryza miesany salat,Bryndzove pirohy so slaninkou a pazitkou,XXL Vyprazany bravcovy rezen s varenymi zemiakmi miesany salat,
2020-07-03,Dilema,Sampinonova s mrvenickou,Grilovane kuracie prsia s gyros korenim dusena ryza tzatziky salat,Zemiakove placky s dusenou kyslou kapustou a udenou krkovickou,Vyprazany syr hranolky domaca tatarska omacka,Vyprazany bravcovy rezen XL zemiaky na grile domaca tatarska omacka
2020-07-03,Kasa,Fazulovy krem s pecenym cesnakom,Zeleninovy zavin,Kura v arasidovej omacke,,
2020-07-03,Mestiansky piv,Sosovicova so zeleninou a udeninou,Vyprazany bravcovy rezen so zemiakovou kasou a uhorkovym salatom,,,
2020-07-03,Milton,Tekvicova polievka na kyslo s koprom z bielej tekvice,Paprikas z kuracich vykostenych stehien,Tvarohovo jablkova zemlovka,Paradajkove Arborio rizoto fritovane kruzky z kalamara,Konfitovane jahnacie kolienko na cesnaku
2020-07-03,Prazsky pub,Mliecna sampinonova polievka s porom,Kolozvarska kapusta s varenymi zemiakmi,Penne s kuracim masom susenymi paradajkami a pestom,Miesany salat s vyprazanymi bravcovymi kuskami,
2020-07-03,Red Cafe,Minestrone polievka,Stefanska rolada zemiakovy privarok,Vypr syr hranolky tatarska omacka,Polievka pizza sunkova salamova sampinonova,
2020-07-03,RTVS,Hovadzia s cestovinou,Indicke bravcove rezance dusena ryza,Vyprazany syr so sunkou opekane zemiaky,Pecene buchty s lekvarom,
2020-07-03,Suvlaki,Pecene rybacie filety s cesnakom rozmarinom cerstvymi paradajkami,Dusene kuracie maso s cervenou paprikou horcicova omacka,Vinny list plneny ryzou na grecky sposob tzatziki dip,,
2020-07-03,Svadby a Kari,Gazpacho studena kremova zeleninova polievka VEGAN RAW,Kuku Paka africke kuracie kokosove kari s tekvicou brokolicou paradajkami a zelenymi fazulkami uhorkovy salat s opekanymi arasidmi v prilohe,Thajske VEGAN kari s citronovou travou sampinonmi cuketou a cicerom uhorkovy salat s opekanymi arasidmi v prilohe,,
2020-07-03,U Majky,Porkova,Zap kuracie prsia so zeleninou,Vyprazane rybie file,Pecene domace buchty,
2020-07-03,Veda,Zeleninova kremova,Cicer v masala omacke,Sampiony a cibula v indickej omacke,Zelenina v indickej jogurtovej omacke,Zemiaky a karfiol v indickej omacke
2020-07-03,Veglife,Brokolicova polievka s mrkvou,Chaluparska zivanska,Cuketovo syrove rezne zemiakove pyre,Zelene kari s tempehom ryza natural B V P,Batatovo karfiolovy nakyp zemiakove pyre
2020-07-06,Alzbetka,Slepaci vyvar s rezancami,Vyprazany kuraci rezen plneny so syrom podavany so zemiakovou kasou a kyslym oblozenim,Ceasar salat s kuracim masom parmezanom a chlebovymi krutonmi,,
2020-07-06,Bioland,Sampinonova kremova s cerstvym spenatom,Indicky sosovicovy dhal zo zeleninou kokosovym mliekom koriandrom a jazminovou ryzou,Miesany salat so susenymi rajcinami uhorkou tofu jarnou cibulkou tekvicovymi semienkami a tekvicovym olejom,Raw vanilkova pena s ovocim,
2020-07-06,BlueBear,Luskova polievka,Svieckova na smotane s parenou knedlou,Vykostene kuracie stehno vyprazane v syrovom cesticku zemiakove pyre salat z cervenej kapust,Cestoviny penne carbonara so struhanym syrom,TYZDENNE Konfitovany bravcovy bok na batatovom pyre restovanych fazulkach s red apple coleslaw salatom
2020-07-06,Centr klub,Zemiakovo porova polievka so slaninou,Tagliatelle s bylinkovym pestom susene paradajky mozzarella caprese,Kuraci steak s pecenou zeleninou zemiakova kasa,Bravcova saltimboca ryza zeleninovy salat,
2020-07-06,Ceska piv,Slepaci vyvar s masom a rezancami,Grilovany encian s varenymi zemiakmi brusnice,Kuracie prsia zapekane s cheddarom a susenou paradajkou ryza,,
2020-07-06,Dilema,Mrkvovo zazvorovy krem,Kuraci perkelt s cestovinou,Prirodny bravcovy rezen v pivnej omacke ryza salat,Zeleninovy karbonatok varene zemiaky s maslom a vnatkou bylinkovy dressing,Dukaty z panenky s hubovo slinkovou omackou ryza cena menu
2020-07-06,Kasa,Cuketovy krem,Pasta rosso verde parmezan,Kuraci spiz,,
2020-07-06,Mestiansky piv,Cesnakovo cibulovy krem s krutonmi,Bravcove pliecko na rasci zemiakova kasa kysle uhorky,,,
