datum,podnik,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2021-07-14,BlueBear,Tekvicova polievka so semiackami,Svieckova na smotane s parenou knedlou,Makove slize s maslom a cukrovou posypkou,,TYZDENNE Vyprazane olomoucke syrecky s pecenymi baby zemiakmi a tatarskou omackou
2021-07-14,Centr klub,Tekvicova na kyslo s koprom,Cezar salat s kuracim masom,Hovadzi tokan na vine tarhona kysla uhorka,,
2021-07-14,Ceska piv,Slepaci vyvar s masom a rezancami,Sosovicova polievka s parkom,Zemiakovy privarok s fasirkami,Rizoto s grilovanou zeleninou a parmezanom,Lahky salat s kuracimi grilovanymi kuskami
2021-07-14,Galileo,Talianska minestrone,Pikantne bravcove sote v zemiakovej placke,,,
2021-07-14,Kasa,Zelerovy krem,Fazulovy black eye d dahl,Hovadzie na mongolsky sposob,,
2021-07-14,Milton,Tekvicova kremova polievka tymianovy olivovy olej,Hovadzie zadne z mladeho bycka podavane krajane na platky,Steak z hovadzej svieckovice s volskym okom,Cheesecake so slanym karamelom a sorbetom s cerveneho ovocia,
2021-07-14,Prazsky pub,Kuraci vyvar s rezancami a zeleninou,Plneny bravcovy rezen na prirodno so sunkou syrom a spenatom s hranolkami,Salat s tuniakom krutonmi vajickom a bazalkovym dressingom,,
2021-07-14,Red Cafe,Gulasova polievka,Bravcove kocky znojemske slovenska ryza,Bolonske spagety,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-14,Suvlaki,Zeleninova polievka,Dusene bravcove maso so zelenymi fazulovymi strukmi paradajkova omacka,Zapecena kuracia rolka plnena slaninkou rukolou a syrom,,
2021-07-14,Svadby a Kari,Thajska kokosova polievka Tom Kha VEGAN,Thajske zelene VEGAN kari s klickami baklazanom a tekvicou cuketovy salat s makom,Indicke kuracie Madras kari s mrkvou a BIO cuketou  cuketovy salat s makom,,
2021-07-14,Veglife,Mrkvovy krem s kokosovym mliekom,Plnena cuketa s goody foody v paradajkovej omacke petrzlenove zemiaky,Karfiolovy paprikas s BiO tempehom ryza natural,Zapekane celozrnne penne s porom parmezanom a sampinonmi,Salat Grecky salat
2021-07-19,Alzbetka,Porova kremova s krutonmi,Kuracia rolada plnena slaninou a syrom Niva so zemiakovou kasou,Hovadzia Quesadila so zemiakovymi hranolkami a kyslou smotanou,Mix listovych salatov s kozim syrom jablkami a pecenou cviklou,
2021-07-19,Bioland,Brokolicova kremova s pecenym zemiakom alergeny neobsahuje,Veganske kremove cuketove rizoto so susenymi paradajkami a bazalkou alergeny sedano,Vegansky aj neveg tekvicovy privarok s koprom vajickom alebo tofu a varenymi zemiakmi alergeny vajce soja,Raw cokoladova pena s ovocim alergeny orechy,
2021-07-19,BlueBear,Paradajkova polievka so struhanym syrom,Francuzske zemiaky s kyslou smotanou a klobasou uhorkovy salat,G Kuracie prsia s marinovanou cviklou wasabi omackou a rukolou,,TYZDENNE Grilovany losos na pecenom zemiaku s wakame riasou a limetkovou redukciou
2021-07-19,Centr klub,Brokolicovy krem s opecenym chlebom,Tagliatelle s bylinkovym pestom susene paradajky mozzarella caprese,Kuraci steak grilovana zelenina kuskus jogurtovy dresing,,
2021-07-19,Ceska piv,Slepaci vyvar s masom a rezancami,Kuracie sote na smotane s kukuricou a slaninkou ryza,Kuraci rezen v parizskom cesticku hranolky tatarska omacka,Salat s kuracimi rezancami a bylinkovym dresingom,
2021-07-19,Kasa,Zamatova batatova polievka s feniklom a pomarancom,Kelovy privarok vajce na tvrdo,Pecene bravcove kare s omackou z korenovej zeleniny,,
